node1,node2,distance
0,10,172.08326112068525
1,9,230.85281374238573
1,2,173.40916292848976
1,4,83.7401153701776
3,7,50.0
5,7,64.2842712474619
6,12,102.66904755831216
6,9,149.1959594928934
6,16,119.48528137423855
7,10,117.2842712474619
8,9,155.45584412271572
9,21,145.08326112068522
10,11,6.242640687119285
11,12,30.14213562373095
11,13,28.14213562373095
12,26,179.25483399593907
13,15,178.5685424949238
13,18,78.48528137423857
14,17,83.01219330881975
17,20,27.627416997969526
17,19,58.14213562373094
17,23,63.65685424949238
18,25,118.32590180780453
18,24,54.89949493661166
20,22,112.49747468305833
20,28,94.79898987322335
21,29,110.88225099390856
21,22,62.87005768508878
22,34,125.35533905932739
24,30,92.49747468305833
24,27,42.76955262170047
29,32,41.941125496954285
29,36,100.55634918610406
31,32,68.41421356237309
32,33,14.899494936611667
33,35,63.32590180780451
33,37,72.89949493661166
35,38,161.92388155425115
35,39,86.72792206135786
