node1,node2,distance
0,1,51.38477631085023
0,2,554.5584412271572
0,5,235.27922061357856
2,17,270.936074863071
2,3,53.828427124746185
4,10,78.2842712474619
5,9,63.04163056034261
5,7,20.14213562373095
6,17,87.69848480983501
8,9,19.0
9,14,119.46803743153546
10,17,79.25483399593904
10,15,25.38477631085024
11,14,111.46803743153546
12,14,12.242640687119286
13,15,381.6051224213831
15,16,15.828427124746192
